 科学全知道（共24册）,¥224.30,北京联合出版有限公司,（美）米歇尔・努森 等 文，（美）巴里・戈特 等 图， 爱心树童书 出品,0.9
 乐乐趣揭秘翻翻书1+2合集（全8册）,¥376.80,未来出版社,未来出版社,0.9
 远行：生命不可思议的旅程（2018“中国童书榜”百佳童书奖！英国Quarto集团年度重磅，版权售出近10国）,¥78.30,民主与建设出版社,"【英】劳拉・诺里斯 著,【英】克里斯・马登 绘,叶显林 译，张荣梅 策划，小当当童书馆 出品",1.0
 【限时促销】中国少年儿童百科全书10册 3-6岁中国青少年版科普读物 6-12岁小学生版十万个为什么百科全书青少年版儿,¥57.80,北方妇儿,赵岩,0.9
 探索科学的孩子科普读物最畅销儿童漫画书7-10岁儿童百科全书儿童读物6-12岁我的第一本科学漫画书7-10岁十万个为什,¥43.80,浙江少年儿童出版社,浙江少年儿童出版社,0.0
 穿越时空看文明―全景手绘中国史（精装全4册）,¥204.00,石油工业出版社,米莱童书 著绘,1.0
 有趣得让人睡不着的天文（科普作家县秀彦带你进入魅力无穷的天文学世界！）,¥19.90,北京时代华文书局,(日) 县秀彦 著 ; 刘子璨 译,1.0
 科学大王：多彩生活（散文式科普读物！“硬核”科普知识与范本式的流畅文字完美融合！）,¥49.80,天地出版社,小书虫读经典工作室,0.0
 《我喜欢读历史》系列（书的历史+火的历史+时间的历史，歪歪兔写给孩子的身边事物简史）,¥145.50,海豚出版社,歪歪兔童书馆,1.0
 大自然会说话（全3册）,¥89.60,敦煌文艺出版社,艾莉森・福尔门托 著，尚童童书出品,0.9
 我们，我们的历史（给孩子的人类简史绘本，超值升级版）,¥96.00,光明日报出版社,伊万・波莫,1.0
 黑洞简史：对黑洞的理解左右着人类对宇宙未来的预测（ 从史瓦西奇点到引力波 霍金痴迷、爱因斯坦拒绝、牛顿错过的伟大发现）,¥39.00,湖南科技出版社,[美] 玛西亚 芭楚莎（Marcia Bartusiak)；中资海派 出品,1.0
 上下五千年&世界五千年（最新版经典套装，共4册）,¥158.40,少年儿童出版社,林汉达 等著,1.0
 欧布奥特曼儿童逆商培养趣味科普故事书：黑暗之刃,¥13.00,南京大学出版社,上海新创华文化发展有限公司,1.0
 乐乐趣揭秘翻翻书系列-揭秘人体,¥61.90,未来出版社,[英]克里斯・奥克雷德 [英]阿妮塔・盖恩瑞文 [英]艾伦・比查 图 巩小图 译，乐乐趣出版,1.0
 这才是好看的数学,¥42.20,北京时代华文书局,吴作乐、吴秉翰 著,0.0
 探索科学的孩子科学启蒙科普读物最畅销我的第一本科学漫画书7-10岁百科全书儿童读物6-12岁身边的科学给小学生的科学课,¥43.90,浙江少年儿童出版社,浙江少年儿童出版社,0.0
 DK星空百科――宇宙和星座的秘密,¥164.60,北京科学技术出版社,英国DK出版社,1.0
 极简宇宙史（霍金亲传弟子写给看不懂《时间简史》的你，荣获“大众喜欢的50种图书”）,¥49.50,上海三联书店,克里斯托弗・加尔法德 文，新经典 出品,0.9
 给仰望者的天文朝圣之旅,¥48.40,北京联合出版有限公司,[美]切特・雷莫 著，高爽 译，[美]迈克尔・麦柯迪 绘，未读 出品，,1.0
 给孩子的极简宇宙史（精装图文版）荣获法国“2018-2019年度初中生喜欢的科普图书奖”第一名！,¥147.00,江西教育出版社,(法) 米里埃尔 加尔戈等著,1.0
 千万不要玩穿越第二辑近现代史（32册）,¥414.00,北方妇女儿童出版社,伊恩・格雷厄姆 等◎文 戴维・艾特拉姆◎图,1.0
 中国历史长卷：手绘年表（全彩手绘6米长卷，一座博古通今的历史长廊）,¥298.50,天津人民出版社,江瑞芹 主编 步印长卷编写组 著 步印童书 出品,0.9
 DK宇宙大百科（精装版）（全彩）,¥200.00,电子工业出版社,Martin Rees(马丁・里斯),1.0
 一想到还有95%的问题留给人类，我就放心了(第十四届文津图书奖）,¥34.00,北京联合出版公司,[巴拿马]豪尔赫・陈 [美]丹尼尔・怀特森，未读 出品,0.9
 低幼科普立体书・太空,¥51.00,吉林美术出版社,[英] 戴维・霍科克/编绘 朱雯霏/译,0.0
 去旅行系列（中国版）2018年度最值得期待的原创作品,¥81.00,广西科学技术出版社,《去旅行》（中国版）编委会著 虫孚虫�� 爆裂鹌鹑蛋 绘,0.9
 乐乐趣揭秘翻翻书系列-揭秘地球,¥61.90,未来出版社,[英] 克里斯・奥克雷得 [英]阿妮塔・盖恩瑞 文，[美]斯蒂芬妮・科尔曼 图，翁建武 译，乐乐趣出版,1.0
 心喜阅科普馆：一座岛的600万年（精）,¥44.10,长江少年儿童出版社,陈振盼 著/绘；心喜阅童书 出品,1.0
 学霸笔记：美国少年学霸超级笔记（全3册，含“英语、数学、科学”）,¥294.00,接力出版社,美国沃克曼出版公司,1.0
 趣味天文学,¥24.60,中国妇女出版社,雅科夫伊西达洛维奇别莱利曼,1.0
 书的历史（写给孩子的身边事物简史丛书之一，歪歪兔童书馆出品）,¥36.00,海豚出版社,歪歪兔童书馆,0.9
 历史真好玩（套装4册）,¥120.00,化学工业出版社,（英）詹姆斯・戴维斯/文图 李科/译 贾平平/译审,1.0
 漫步侏罗纪（恐龙大世界丛书）100多种恐龙，千余幅彩图，8万多字的阐述说明，少儿科普动物故事百科3-6-8岁儿童读物小,¥23.80,山东教育出版社,闫小飒,0.9
 星座之美,¥49.00,南海出版公司,自然编辑部,1.0
 2册中国地理百科丛书世界地理百科全书 少儿科普读物 小学生语文新课标必读丛书 青少年版国家地理儿童百科 写给儿童的讲给,¥32.00,北京联合出版公司,北京联合出版公司,1.0
